disasterNumber,declarationDate,incidentType,declarationType,state,fyDeclared,incidentBeginDate,designatedArea_count,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incident_duration_days,is_ongoing,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,totalObligatedAmountHmgp,total_disaster_cost,total_obligated,federal_obligated,avg_project_cost,applicant_count,project_count,large_project_count,small_project_count,has_debris,has_emergency,has_roads,has_water,has_buildings,has_utilities,has_parks
1239,1998-08-26T00:00:00.000Z,Severe Storm,DR,TX,1998,1998-08-22T00:00:00.000Z,257,0,1,1,1,9.0,0,0.0,0.0,0.0,8225378.98,4219882.47,3961713.95,3887494.0,12112872.98,8224551.92,7950369.84,38407.582898550725,40.0,276.0,274.0,2.0,True,True,True,True,True,True,True
1240,1998-08-27T00:00:00.000Z,Hurricane,DR,NC,1998,1998-08-20T00:00:00.000Z,30,0,1,1,1,12.0,0,0.0,0.0,0.0,25149994.52,15755766.0,9394228.52,3479614.0,28629608.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1241,1998-09-04T00:00:00.000Z,Hurricane,DR,FL,1998,1998-09-03T00:00:00.000Z,6,0,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,302741.0,302741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1242,1998-09-04T00:00:00.000Z,Hurricane,DR,VA,1998,1998-08-25T00:00:00.000Z,5,0,1,1,1,7.0,0,0.0,0.0,0.0,12713027.57,10429603.75,2283423.82,1514019.0,14227046.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1243,1998-09-04T00:00:00.000Z,Hurricane,DR,SC,1998,1998-08-25T00:00:00.000Z,1,0,0,1,1,7.0,0,0.0,0.0,0.0,3482782.86,2126923.11,1355859.75,580602.0,4063384.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1244,1998-09-11T00:00:00.000Z,Severe Storm,DR,NY,1998,1998-09-07T00:00:00.000Z,11,0,1,1,1,0.0,0,0.0,0.0,0.0,31014660.65,29562899.0,1451761.65,2801027.0,33815687.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1245,1998-09-23T00:00:00.000Z,Severe Storm,DR,TX,1998,1998-09-09T00:00:00.000Z,5,0,1,1,0,26.0,0,0.0,0.0,0.0,9108430.34,1752274.45,7356155.89,2204299.0,11312729.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1246,1998-09-23T00:00:00.000Z,Hurricane,DR,LA,1998,1998-09-09T00:00:00.000Z,22,0,1,1,1,25.0,0,0.0,0.0,0.0,25674004.53,14600100.8,11073903.73,7197142.0,32871146.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1247,1998-09-24T00:00:00.000Z,Hurricane,DR,PR,1998,1998-09-20T00:00:00.000Z,79,0,1,1,1,37.0,0,0.0,0.0,0.0,496217930.75,178784755.92,317433174.83,220712228.0,716930158.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1248,1998-09-24T00:00:00.000Z,Hurricane,DR,VI,1998,1998-09-19T00:00:00.000Z,4,0,1,1,1,3.0,0,0.0,0.0,0.0,5270912.91,1897231.26,3373681.65,996958.0,6267870.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1249,1998-09-28T00:00:00.000Z,Hurricane,DR,FL,1998,1998-09-25T00:00:00.000Z,17,0,1,1,1,12.0,0,0.0,0.0,0.0,109791243.08,43903595.67,65887647.41,15005046.0,124796289.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1250,1998-09-30T00:00:00.000Z,Hurricane,DR,AL,1998,1998-09-25T00:00:00.000Z,14,0,1,1,1,11.0,0,0.0,0.0,0.0,32353288.21,6249908.14,26103380.07,6689836.0,39043124.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1251,1998-10-01T00:00:00.000Z,Hurricane,DR,MS,1999,1998-09-25T00:00:00.000Z,17,0,1,1,1,10.0,0,0.0,0.0,0.0,25167912.31,12366565.42,12801346.89,13298291.0,38466203.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1252,1998-10-05T00:00:00.000Z,Severe Storm,DR,WA,1999,1998-05-26T00:00:00.000Z,2,0,0,1,1,3.0,0,0.0,0.0,0.0,2020087.91,174832.0,1845255.91,286725.0,2306812.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1253,1998-10-14T00:00:00.000Z,Severe Storm,DR,MO,1999,1998-10-04T00:00:00.000Z,19,0,1,1,1,7.0,0,0.0,0.0,0.0,12512996.09,494514.78,12018481.31,2116175.0,14629171.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1254,1998-10-14T00:00:00.000Z,Severe Storm,DR,KS,1999,1998-10-01T00:00:00.000Z,12,0,1,1,1,7.0,0,0.0,0.0,0.0,6556199.43,565162.84,5991036.59,750065.0,7306264.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1255,1998-10-16T00:00:00.000Z,Mud/Landslide,DR,WA,1999,1998-03-06T00:00:00.000Z,1,0,1,1,1,258.0,0,0.0,0.0,0.0,4507774.54,1401615.75,3106158.79,844215.0,5351989.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1256,1998-10-19T00:00:00.000Z,Severe Storm,DR,MO,1999,1998-07-10T00:00:00.000Z,3,0,1,0,1,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,645473.0,645473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1257,1998-10-21T00:00:00.000Z,Flood,DR,TX,1999,1998-10-17T00:00:00.000Z,43,0,1,1,1,29.0,0,0.0,0.0,0.0,33279674.22,9756691.41,23183628.92,18906913.0,52186587.22,33271088.84,32229051.37,24416.013886363635,187.0,1760.0,118.0,1642.0,True,True,True,True,True,True,True
1258,1998-11-05T00:00:00.000Z,Severe Storm,DR,KS,1999,1998-10-30T00:00:00.000Z,20,0,1,1,1,16.0,0,0.0,0.0,0.0,6654597.56,946839.14,5707758.42,2546649.0,9201246.559999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1259,1998-11-06T00:00:00.000Z,Severe Storm,DR,FL,1999,1998-11-04T00:00:00.000Z,2,0,1,1,1,1.0,0,0.0,0.0,0.0,3099238.12,2656536.59,442701.53,1129100.0,4228338.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1260,1999-01-15T00:00:00.000Z,Severe Storm,DR,TN,1999,1998-12-23T00:00:00.000Z,33,0,0,1,1,6.0,0,0.0,0.0,0.0,9863594.0,3896685.75,5833055.72,1875688.0,11739282.0,9863594.04,9485830.0,59659.30768867925,90.0,212.0,39.0,173.0,True,True,True,False,True,True,True
1261,1999-01-15T00:00:00.000Z,Severe Storm,DR,AL,1999,1998-12-23T00:00:00.000Z,12,0,0,1,1,6.0,0,0.0,0.0,0.0,5735788.21,2349946.79,3385841.42,1096729.0,6832517.21,5735788.22,5498755.69,53128.07369565217,73.0,138.0,30.0,108.0,True,True,False,False,True,True,True
1262,1999-01-19T00:00:00.000Z,Severe Storm,DR,TN,1999,1999-01-17T00:00:00.000Z,24,0,1,1,1,15.0,0,0.0,0.0,0.0,15377362.84,4437805.23,10793815.08,1494499.0,16871861.84,15374967.08,14941466.64,74335.65414179103,53.0,268.0,56.0,212.0,True,True,True,False,True,True,True
1263,1999-01-21T00:00:00.000Z,Severe Storm,DR,ME,1999,1998-10-08T00:00:00.000Z,2,0,0,1,1,3.0,0,0.0,0.0,0.0,1579219.78,113278.63,1465941.15,235411.0,1814630.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1264,1999-01-21T00:00:00.000Z,Severe Storm,DR,LA,1999,1998-12-22T00:00:00.000Z,18,0,0,1,1,6.0,0,0.0,0.0,0.0,3033110.28,882780.99,2135164.26,915473.0,3948583.28,3033057.68,2910386.64,42179.5152173913,41.0,92.0,16.0,76.0,True,True,True,False,True,True,True
1265,1999-01-25T00:00:00.000Z,Severe Ice Storm,DR,MS,1999,1998-12-23T00:00:00.000Z,34,0,0,1,1,3.0,0,0.0,0.0,0.0,6970269.48,2590192.47,4349918.09,1319820.0,8290089.48,6970269.48,6677096.48,50873.114628571435,93.0,175.0,36.0,139.0,True,True,True,False,True,True,True
1266,1999-01-23T00:00:00.000Z,Severe Storm,DR,AR,1999,1999-01-21T00:00:00.000Z,22,0,1,1,1,10.0,0,0.0,0.0,0.0,7265330.4,4572203.46,2603875.52,3634575.0,10899905.4,7264503.91,7021560.25,29455.783782051287,46.0,312.0,30.0,282.0,True,True,True,False,True,True,True
1267,1999-02-09T00:00:00.000Z,Freezing,DR,CA,1999,1998-12-20T00:00:00.000Z,8,0,1,0,1,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2167204.0,2167204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1268,1999-02-17T00:00:00.000Z,Severe Ice Storm,DR,WY,1999,1998-10-05T00:00:00.000Z,2,0,0,1,1,4.0,0,0.0,0.0,0.0,721979.29,43929.52,655398.71,120352.0,842331.29,718613.3400000001,683362.94,101238.95333333334,7.0,9.0,2.0,7.0,False,True,False,False,True,True,False
1269,1999-04-09T00:00:00.000Z,Severe Storm,DR,LA,1999,1999-04-03T00:00:00.000Z,5,0,1,1,1,4.0,0,0.0,0.0,0.0,1737569.4,898066.5,810242.78,1037030.0,2774599.4,1736553.53,1654713.1300000001,21630.235980392154,27.0,102.0,13.0,89.0,True,True,True,True,True,True,True
1270,1999-04-20T00:00:00.000Z,Severe Storm,DR,MO,1999,1999-04-03T00:00:00.000Z,6,0,1,0,1,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,319783.0,319783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1271,1999-04-20T00:00:00.000Z,Severe Storm,DR,GA,1999,1999-04-15T00:00:00.000Z,2,0,1,1,1,0.0,0,0.0,0.0,0.0,1868757.98,1691960.54,176797.44,495343.0,2364100.98,1868580.4000000001,1800849.31,64895.46945945946,7.0,37.0,6.0,31.0,True,True,True,False,True,True,True
1272,1999-05-04T00:00:00.000Z,Tornado,DR,OK,1999,1999-05-03T00:00:00.000Z,19,0,1,1,1,1.0,0,0.0,0.0,0.0,40588743.22,29892462.64,10342694.45,12665798.0,53254541.22,40593066.51,39757834.02,117735.34,78.0,371.0,68.0,303.0,True,True,True,True,True,True,True
1273,1999-05-04T00:00:00.000Z,Tornado,DR,KS,1999,1999-05-03T00:00:00.000Z,3,0,1,1,1,3.0,0,0.0,0.0,0.0,3144097.57,2597610.34,546487.23,1764725.0,4908822.57,3144097.57,3033944.15,45446.65305555556,13.0,72.0,17.0,55.0,True,True,True,False,True,True,True
1274,1999-05-06T00:00:00.000Z,Tornado,DR,TX,1999,1999-05-04T00:00:00.000Z,4,0,1,1,1,0.0,0,0.0,0.0,0.0,1525086.7,1060865.15,587622.94,778869.0,2303955.7,1525086.7000000002,1449955.91,52221.95210526315,15.0,38.0,8.0,30.0,True,True,True,False,True,True,True
1275,1999-05-12T00:00:00.000Z,Severe Storm,DR,TN,1999,1999-05-05T00:00:00.000Z,18,0,1,1,1,14.0,0,0.0,0.0,0.0,5322523.58,2426827.39,2821849.55,853245.0,6175768.58,5322244.0,5113084.74,53680.67858267717,49.0,127.0,21.0,106.0,True,True,True,False,True,True,True
1276,1999-05-17T00:00:00.000Z,Severe Storm,DR,CO,1999,1999-04-29T00:00:00.000Z,12,0,1,1,0,20.0,0,0.0,0.0,0.0,5242416.68,546984.2,4587872.59,1158596.0,6401012.68,5242363.94,5047597.55,22138.584440789473,49.0,304.0,24.0,280.0,True,True,True,True,True,True,True
1277,1999-05-21T00:00:00.000Z,Severe Storm,DR,IA,1999,1999-05-16T00:00:00.000Z,17,0,1,1,1,13.0,0,0.0,0.0,0.0,8534710.43,1862546.18,6422742.96,2449736.0,10984446.43,8533007.27,8200421.87,21955.61277108434,106.0,498.0,35.0,463.0,True,True,True,True,True,True,True
1278,1999-05-28T00:00:00.000Z,Severe Storm,DR,IL,1999,1999-05-16T00:00:00.000Z,1,0,1,1,1,1.0,0,0.0,0.0,0.0,501235.42,20563.57,469397.28,113954.0,615189.4199999999,500602.05,472808.88,11674.292222222222,25.0,54.0,1.0,53.0,True,True,True,False,True,True,True
1279,1999-06-08T00:00:00.000Z,Flood,DR,ND,1999,1999-03-01T00:00:00.000Z,46,0,1,1,1,140.0,0,0.0,0.0,0.0,48334834.63,3905669.96,43752362.0,11742244.0,60077078.63,48332870.72,47046812.96,26215.764012036107,263.0,1994.0,87.0,1907.0,True,True,True,True,True,True,True
1280,1999-06-09T00:00:00.000Z,Tornado,DR,SD,1999,1999-06-04T00:00:00.000Z,2,0,1,1,1,14.0,0,0.0,0.0,0.0,801099.77,621063.41,162372.31,1152684.0,1953783.77,801099.77,760273.1900000001,30718.107272727273,6.0,33.0,7.0,26.0,True,True,True,False,True,True,True
1281,1999-07-20T00:00:00.000Z,Severe Storm,DR,NV,1999,1999-07-08T00:00:00.000Z,1,0,1,1,1,8.0,0,0.0,0.0,0.0,4736115.0,429615.84,4190877.14,704930.0,5441045.0,4735855.02,4591605.01,38883.95651898734,10.0,158.0,27.0,131.0,True,True,True,True,True,True,True
1282,1999-07-22T00:00:00.000Z,Severe Storm,DR,IA,1999,1999-07-02T00:00:00.000Z,21,0,1,1,1,39.0,0,0.0,0.0,0.0,10955690.74,1814403.47,8883933.06,2636499.0,13592189.74,10955375.22,10559363.84,16983.294306393247,126.0,829.0,38.0,791.0,True,True,True,True,True,True,True
1283,1999-07-28T00:00:00.000Z,Severe Storm,DR,MN,1999,1999-07-04T00:00:00.000Z,9,0,1,1,1,29.0,0,0.0,0.0,0.0,11679939.6,3332720.86,8260184.09,2769144.0,14449083.6,11679813.36,11270477.65,30802.499344262294,156.0,488.0,42.0,446.0,True,True,True,True,True,True,True
1284,1999-08-16T00:00:00.000Z,Flood,DR,WI,1999,1999-07-04T00:00:00.000Z,10,0,0,1,1,27.0,0,0.0,0.0,0.0,4064691.72,950005.26,3086906.66,641581.0,4706272.720000001,4064147.16,3868901.11,17024.866435643566,146.0,303.0,14.0,289.0,True,True,True,True,True,True,True
1285,1999-08-16T00:00:00.000Z,Tornado,DR,UT,1999,1999-08-11T00:00:00.000Z,1,0,1,1,1,0.0,0,0.0,0.0,0.0,518798.92,331705.11,182722.6,86350.0,605148.9199999999,518798.92,492108.72000000003,41009.05875,7.0,16.0,4.0,12.0,True,True,True,False,True,False,False
1286,1999-08-20T00:00:00.000Z,Severe Storm,DR,NE,1999,1999-08-06T00:00:00.000Z,3,0,1,1,1,3.0,0,0.0,0.0,0.0,2083481.55,147935.45,1935546.1,621569.0,2705050.55,2083278.6300000001,1990333.52,47388.89214285714,21.0,56.0,8.0,48.0,True,True,True,True,True,True,True
1287,1999-08-22T00:00:00.000Z,Hurricane,DR,TX,1999,1999-08-21T00:00:00.000Z,13,0,1,1,1,5.0,0,0.0,0.0,0.0,3704291.45,2689766.86,906909.42,3182052.0,6886343.45,3704219.08,3536762.01,18067.748620689654,106.0,261.0,21.0,240.0,True,True,True,True,True,True,True
1288,1999-08-26T00:00:00.000Z,Severe Ice Storm,DR,MN,1999,1999-03-01T00:00:00.000Z,7,0,0,1,1,90.0,0,0.0,0.0,0.0,7734889.99,727111.27,6928401.83,1359545.0,9094434.99,7728905.2700000005,7499133.58,42274.329915611816,130.0,237.0,25.0,212.0,True,True,True,True,False,True,True
1289,1999-09-01T00:00:00.000Z,Severe Storm,DR,PA,1999,1999-08-20T00:00:00.000Z,2,0,1,1,1,1.0,0,0.0,0.0,0.0,785818.09,84066.71,685083.81,305977.0,1091795.0899999999,785818.08,745575.53,12910.397142857142,12.0,77.0,2.0,75.0,True,True,True,True,True,True,True
1290,1999-09-06T00:00:00.000Z,Hurricane,DR,VA,1999,1999-08-27T00:00:00.000Z,1,0,1,0,1,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,200782.0,200782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1291,1999-09-09T00:00:00.000Z,Hurricane,DR,NC,1999,1999-08-29T00:00:00.000Z,6,0,1,0,1,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,381636.0,381636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
