disasterNumber,state,declarationDate,incidentType,incidentBeginDate,incidentEndDate,declarationType,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedArea,fyDeclared
3610,PR,2024-08-13T00:00:00.000Z,Severe Storm,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,EM,0,0,1,0,Adjuntas (Municipio),2024
5529,OR,2024-08-09T00:00:00.000Z,Fire,2024-08-08T00:00:00.000Z,,FM,0,0,1,1,Washington (County),2024
5528,OR,2024-08-06T00:00:00.000Z,Fire,2024-08-04T00:00:00.000Z,,FM,0,0,1,1,Jefferson (County),2024
5527,OR,2024-08-02T00:00:00.000Z,Fire,2024-08-02T00:00:00.000Z,,FM,0,0,1,1,Deschutes (County),2024
3610,PR,2024-08-13T00:00:00.000Z,Severe Storm,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,EM,0,0,1,0,Aguada (Municipio),2024
3610,PR,2024-08-13T00:00:00.000Z,Severe Storm,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,EM,0,0,1,0,Aguadilla (Municipio),2024
4312,CA,2017-05-02T00:00:00.000Z,Severe Storm,2017-02-08T00:00:00.000Z,2017-02-11T00:00:00.000Z,DR,0,0,1,1,Resighini Rancheria (Indian Reservation),2017
4251,AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,DR,0,0,1,1,Autauga (County),2016
4251,AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,DR,0,0,1,1,Barbour (County),2016
4251,AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,DR,0,0,1,1,Blount (County),2016
3610,PR,2024-08-13T00:00:00.000Z,Severe Storm,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,EM,0,0,1,0,Aguas Buenas (Municipio),2024
3610,PR,2024-08-13T00:00:00.000Z,Severe Storm,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,EM,0,0,1,0,Aibonito (Municipio),2024
3610,PR,2024-08-13T00:00:00.000Z,Severe Storm,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,EM,0,0,1,0,Anasco (Municipio),2024
3610,PR,2024-08-13T00:00:00.000Z,Severe Storm,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,EM,0,0,1,0,Arecibo (Municipio),2024
4251,AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,DR,0,0,1,1,Bullock (County),2016
4251,AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,DR,0,0,1,1,Butler (County),2016
3610,PR,2024-08-13T00:00:00.000Z,Severe Storm,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,EM,0,0,1,0,Arroyo (Municipio),2024
3610,PR,2024-08-13T00:00:00.000Z,Severe Storm,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,EM,0,0,1,0,Barceloneta (Municipio),2024
3610,PR,2024-08-13T00:00:00.000Z,Severe Storm,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,EM,0,0,1,0,Barranquitas (Municipio),2024
3610,PR,2024-08-13T00:00:00.000Z,Severe Storm,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,EM,0,0,1,0,Bayamon (Municipio),2024
3610,PR,2024-08-13T00:00:00.000Z,Severe Storm,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,EM,0,0,1,0,Cabo Rojo (Municipio),2024
5516,OR,2024-07-22T00:00:00.000Z,Fire,2024-07-21T00:00:00.000Z,,FM,0,0,1,1,Baker (County),2024
5516,OR,2024-07-22T00:00:00.000Z,Fire,2024-07-21T00:00:00.000Z,,FM,0,0,1,1,Malheur (County),2024
3610,PR,2024-08-13T00:00:00.000Z,Severe Storm,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,EM,0,0,1,0,Caguas (Municipio),2024
5514,OR,2024-07-21T00:00:00.000Z,Fire,2024-07-21T00:00:00.000Z,,FM,0,0,1,1,Grant (County),2024
5514,OR,2024-07-21T00:00:00.000Z,Fire,2024-07-21T00:00:00.000Z,,FM,0,0,1,1,Morrow (County),2024
5514,OR,2024-07-21T00:00:00.000Z,Fire,2024-07-21T00:00:00.000Z,,FM,0,0,1,1,Umatilla (County),2024
5513,OR,2024-07-21T00:00:00.000Z,Fire,2024-07-20T00:00:00.000Z,,FM,0,0,1,1,Grant (County),2024
5512,OR,2024-07-18T00:00:00.000Z,Fire,2024-07-18T00:00:00.000Z,,FM,0,0,1,1,Grant (County),2024
5512,OR,2024-07-18T00:00:00.000Z,Fire,2024-07-18T00:00:00.000Z,,FM,0,0,1,1,Harney (County),2024
