disasterNumber,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,totalObligatedAmountHmgp,paLoadDate,iaLoadDate
3601,,,,,,,,,
3602,,,,,,,,,
1550,8514432.84,6200742.72,2313690.12,14444569.46,10517748.67,4216944.26,1565093.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
1802,,,,18812748.86,13423088.38,4869890.36,2710679.0,2026-02-06T00:00:00.000Z,
4317,12527583.31,10311780.12,2215803.19,77319838.79,11526563.99,64379774.1,17801245.73,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
1292,,,,298105794.06,143602692.89,150485207.39,67665966.0,2026-02-06T00:00:00.000Z,
1255,,,,4507774.54,1401615.75,3106158.79,844215.0,2026-02-06T00:00:00.000Z,
3163,,,,5380816.01,5369403.69,,,2026-02-06T00:00:00.000Z,
4723,,,,58777956.06,3280519.41,51614259.11,10673789.25,2026-05-08T00:00:00.000Z,
3187,,,,1597088.45,1616903.05,,,2026-02-06T00:00:00.000Z,
4015,,,,5553128.41,3549146.66,1760212.52,1762074.09,2026-02-06T00:00:00.000Z,
4261,,,,69267697.55,63921034.22,5197038.9,11150426.87,2026-02-06T00:00:00.000Z,
1752,,,,3020576.08,82107.37,2836362.71,1247.0,2026-02-06T00:00:00.000Z,
2248,,,,18718.34,18718.34,,,2026-02-06T00:00:00.000Z,
2177,,,,964468.0,964468.0,,,2026-02-06T00:00:00.000Z,
5463,,,,247922.91,31636.88,,530971.87,2026-02-06T00:00:00.000Z,
1349,,,,2838615.94,94167.46,2564548.23,538400.0,2026-02-06T00:00:00.000Z,
1384,,,,6425209.53,2629470.0,3613225.53,1051510.0,2026-02-06T00:00:00.000Z,
1615,,,,8128420.53,553279.69,7427977.19,0.0,2026-02-06T00:00:00.000Z,
4402,8902520.27,8003898.67,898621.6,37653211.88,5437591.72,29020724.35,9367766.51,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
4030,103504091.89,93779140.15,9724951.74,148024629.35,23010375.05,122573815.22,32923328.7,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4045,,,,5135398.21,561055.89,4428207.36,720204.0,2026-02-06T00:00:00.000Z,
5492,,,,,,,43908.05,,
2108,,,,8815.1,8815.1,,,2026-02-06T00:00:00.000Z,
4212,,,,8736490.43,8429263.2,156446.83,269876.97,2026-02-06T00:00:00.000Z,
1981,95754618.67,93631947.01,2122671.66,224355761.7,94967791.86,119773860.39,71549737.0,2026-02-06T00:00:00.000Z,2026-05-08T00:00:00.000Z
4415,,,,6453697.9,423536.43,5347443.35,1109703.29,2026-02-06T00:00:00.000Z,
5630,,,,,,,0.0,,
1267,,,,,,,2167204.0,,
4056,,,,30413928.56,15972757.36,13054413.58,5794419.14,2026-02-06T00:00:00.000Z,
5384,,,,,,,885821.04,,
1270,,,,,,,319783.0,,
5629,,,,,,,0.0,,
5631,,,,,,,0.0,,
5278,,,,,,,1527297.3,,
5494,,,,,,,645732.1,,
4507,151267601.7,,151267601.7,627225160.66,614034481.08,,37738702.18,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
5614,,,,,,,0.0,,
2956,,,,586405.18,539825.8,,0.0,2026-02-06T00:00:00.000Z,
4855,,,,17095219.24,519305.27,15572909.9,263745.5,2026-05-08T00:00:00.000Z,
1836,,,,6100444.28,3010700.1,2801845.18,666076.0,2026-02-06T00:00:00.000Z,
4185,,,,3837595.3,200422.1,3582189.99,213400.0,2026-02-06T00:00:00.000Z,
5284,,,,264039.14,55841.5,,348002.3,2026-02-06T00:00:00.000Z,
1781,,,,1655156.5,250629.68,1309133.42,192093.0,2026-02-06T00:00:00.000Z,
1274,,,,1525086.7,1060865.15,587622.94,778869.0,2026-02-06T00:00:00.000Z,
4839,,,,11354832.19,3226028.74,5438530.9,0.0,2026-05-08T00:00:00.000Z,
5456,,,,,,,4792739.84,,
3340,,,,495306.49,495306.49,,,2026-02-06T00:00:00.000Z,
5380,,,,13195694.92,755181.46,,3908293.99,2026-02-06T00:00:00.000Z,
2363,,,,5060820.9,5060820.9,,,2026-02-06T00:00:00.000Z,
2115,,,,6199578.0,6199578.0,,,2026-02-06T00:00:00.000Z,
1290,,,,,,,200782.0,,
4547,30598662.86,29115555.13,1483107.73,33308156.91,9384852.28,21585239.24,8067423.63,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
3626,,,,,,,,,
4484,57084521.73,,57084521.73,2207352740.3,2178073466.68,,5007441.68,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
1291,,,,,,,381636.0,,
4483,32254679.38,,32254679.38,518417216.56,500461908.11,,17341399.57,2026-05-08T00:00:00.000Z,2026-05-08T00:00:00.000Z
1945,,,,2138551.99,65844.71,2064752.98,14946.0,2026-02-06T00:00:00.000Z,
5470,,,,,,,0.0,,
4274,,,,4693118.02,304934.78,4213341.88,680649.32,2026-02-06T00:00:00.000Z,
1986,,,,5934923.13,94913.51,5815317.82,487940.0,2026-02-06T00:00:00.000Z,
1743,,,,2629570.0,1000841.59,1526800.41,339127.0,2026-02-06T00:00:00.000Z,
1298,,,,,,,195648.0,,
2951,,,,419338.96,44966.47,,0.0,2026-02-06T00:00:00.000Z,
4156,,,,2670513.58,913403.65,1721740.89,370314.0,2026-02-06T00:00:00.000Z,
2673,,,,440667.37,7838.48,,0.0,2026-02-06T00:00:00.000Z,
4602,,,,64183588.49,30773027.34,27391358.36,4601029.7,2026-05-08T00:00:00.000Z,
4067,,,,4046793.01,4024549.15,,475368.08,2026-02-06T00:00:00.000Z,
1304,,,,,,,10446.0,,
2681,,,,1153198.47,79387.8,,0.0,2026-02-06T00:00:00.000Z,
